latinad_id,display_name,latitude,longitude,city
747,Movil 1 - DÃ­a completo,9.8738385,-83.90557881,
749,Movil 2,9.86302587,-83.93035161,
764,AEROPUERTO JUAN SANTAMARIA - TVÂ´s SALAS VIP - SANTAMARIA,9.99877485,-84.20391437,
765,AEROPUERTO JUAN SANTAMARIA - TVÂ´s SALAS VIP - LOUNGE,9.99877485,-84.20391437,
797,N3 - TOT - TOYS - T8L1PA* //DESCONECTADO X REMODELACION//,9.9935144,-84.1313159,
910,Mercedes Uruguay,-33.24603129,-58.0300797,
933,SABANA - PANTALLA EXTERNA - SABANA NORTE,9.93624612,-84.0978426,
934,URUCA - PANTALLA EXTERNA - SOBRE TIENDA HONDA,9.94864058,-84.09765218,
935,MULTIPLAZA CURRIDABAT - PANTALLA EXTERNA,9.9179965,-84.0468474,
936,MULTIPLAZA CURRIDABAT - PANTALLA  FOOD COURT,9.9179965,-84.0468474,
960,LINCOLN PLAZA - PANTALLA - FRENTE A PLAYGROUND,9.9623998,-84.0558916,
961,LINCOLN PLAZA - PANTALLA - EXTERNA,9.96277458,-84.05656548,
968,MALL SAN PEDRO - PANTALLA EXTERNA,9.9301517,-84.04232631,
970,MULTI ESCAZU - PANTALLA INTERNA - FOODCOURT,9.9439637,-84.1503567,
973,TERRAMALL - PANTALLA INTERNA - FOOD COURT,9.9020669,-83.9962491,
974,TERRAMALL - PANTALLA EXTERNA - SOBRE RUTA 2,9.90130593,-83.99646368,
983,MULTIPLAZA LA FELICIDAD - PANTALLA INTERNA - FOODCOURT,4.65214,-74.125266,
1019,ANONOS CARA A - PANTALLA EXTERNA - SOBRE RUTA 27,9.93489054,-84.12088926,
1020,ANONOS CARA B - PANTALLA EXTERNA - SOBRE RUTA 27,9.93484061,-84.12089464,
1021,AVENIDA SEGUNDA - PANTALLA EXTERNA - FRENTE MUSEO NACIONAL,9.93204817,-84.07157507,
1022,GENERAL CAÃ‘AS - PANTALLA EXTERNA - SOBRE RUTA 1,9.95795601,-84.11660938,
1023,LINDORA - PANTALLA EXTERNA - CENTRO COMERCIAL VISTANA,9.9530297,-84.1937306,
1024,OXIGENO CARA B - PANTALLA EXTERNA - RUTA 111,9.99481402,-84.12914868,
1025,OUTLETMALL - PANTALLA EXTERNA - SAN PEDRO,9.9317793,-84.0525053,
1028,SANTA ANA TOWN CENTER - PANTALLA EXTERNA - SOBRE RUTA 121,9.93457983,-84.18745185,
1038,PASEO METROPOLI - PANTALLA INTERNA - FOOD COURT,9.8670895,-83.9425472,
1061,OXIGENO - TOTEMS ESPECIALES - FRENTE A TIENDA EKONO (D5),9.9945066,-84.1312441,
1062,OXIGENO - PANTALLA INTERNA - EXPEDITION (D2),9.9945066,-84.1312441,
1063,OXIGENO - PANTALLA EXTERNA - DROP OFF (X2),9.9945066,-84.1312441,
1064,OXIGENO  - PANTALLA INTERNA - FOOD COURT (D1),9.9945066,-84.1312441,
1065,OXIGENO  - PANTALLA EXTERNA - ACCESO (X1),9.9945066,-84.1312441,
1067,MULTICENTRO DESAMPARADOS - PANTALLA INTERNA FOOD COURT,9.8994811,-84.0685052,
1131,ZAPOTE - PANTALLA EXTERNA - FRENTE A PLAZA ZAPOTE,9.9211952,-84.0557264,
1170,TERMINAL DE BUSES SALITRE - ENTRADA PRINCIPAL #1,4.6532386,-74.1146288,
1180,TSJ-01-02,9.93443535,-84.08383137,
1181,TSJ-01-01,9.93437078,-84.08315423,
1182,TSJ-01-03,9.93427799,-84.08230216,
1183,TSJ-01-04,9.9341703,-84.08100006,
1184,TSJ-01-05,9.93411844,-84.08064379,
1189,TSJ-01-10 OFF,9.93371671,-84.07614946,
1190,TSJ-01-11,9.93359219,-84.07485628,
1191,TSJ-01-12 OFF,9.93348205,-84.07375268,
1192,TSJ-01-13 OFF,9.93351448,-84.07334801,
1193,TSJ-01-14 F,9.93451977,-84.08464279,
1194,TSJ-02-15,9.93195982,-84.07635697,
1196,TSJ-02-19,9.93211223,-84.07770232,
1198,TSJ-02-17,9.93228193,-84.0791067,
1200,TSJ-02-21 OFF,9.93245329,-84.08038191,
1201,TSJ-02-22 F,9.9325524,-84.08140944,
1202,TSJ-02-23,9.93284111,-84.08324289,
1203,TSJ-02-24 OFF,9.93286017,-84.08395654,
1206,TSJ-03-27,9.93064159,-84.0750942,
1207,TSJ-03-28 OFF,9.92976283,-84.07523098,
1208,TSJ-03-29,9.92913824,-84.07528378,
1209,TSJ-03-30 OFF,9.92789916,-84.07544758,
1210,TSJ-04-31,9.93017366,-84.07124522,
1211,TSJ-04-32 OFF,9.93087342,-84.07114537,
1212,TSJ-04-33 OFF,9.93122085,-84.07114202,
1213,TSJ-04-34,9.93240021,-84.07102041,
1214,TSJ-04-35,9.93320431,-84.07091941,
1215,TSJ-04-36,9.9338123,-84.07086708,
1216,TSJ-05-37,9.93631992,-84.07034266,
1217,TSJ-06-38 F,9.93540551,-84.0798185,
1218,TSJ-06-39,9.93356878,-84.07998565,
1219,TSJ-06-40 F,9.93458725,-84.07985348,
1220,TSJ-06-41 F,9.93290709,-84.08000495,
1221,TSJ-06-42 OFF,9.93236577,-84.08002786,
1222,TSJ-06-43,9.93150477,-84.08015879,
1223,TSJ-06-44,9.92916211,-84.08037969,
1224,TSJ-06-45 OFF,9.92854623,-84.08043934,
1225,TSJ-06-46,9.92775283,-84.08043408,
1226,TSJ-06-47,9.9262411,-84.08023251,
1227,TSJ-06-48,9.92628757,-84.08078343,
1228,TSJ-06-49,9.92571187,-84.08103358,
1230,TSJ-07-51,9.934102,-84.06796354,
1231,TSJ-07-52,9.93432393,-84.06819823,
1232,TSJ-07-53,9.93469879,-84.06911324,
1233,TSJ-07-54 OFF,9.93480296,-84.06974404,
1234,TSJ-07-55,9.93524629,-84.07091767,
1235,TSJ-07-56 OFF,9.93534687,-84.07189481,
1236,TSJ-07-57,9.93528821,-84.07214083,
1237,TSJ-07-58,9.93540939,-84.07403613,
1239,TSJ-08-60 OFF,9.93423471,-84.0920711,
1240,TSJ-08-61,9.93434105,-84.09331144,
1242,TSJ-08-63,9.93432804,-84.09551873,
1243,TSJ-08-64,9.93454997,-84.09631803,
1244,TSJ-09-65 OFF,9.93279416,-84.08818264,
1245,TSJ-09-66 OFF,9.93206992,-84.08862872,
1246,TSJ-09-67 OFF,9.93228174,-84.09048746,
1247,TSJ-09-68 OFF,9.93266747,-84.09022729,
1248,TSJ-09-69 OFF,9.93237171,-84.09190876,
1249,TSJ-09-70 OFF,9.93237086,-84.09218005,
1250,TSJ-09-71,9.93263234,-84.0964172,
1251,TSJ-09-72 OFF,9.93261463,-84.09413022,
1253,TSJ-11-74,9.93310308,-84.06908395,
1254,TSJ-11-75,9.93412633,-84.0690619,
1270,TERMINAL DE BUSES SALITRE - ENTRADA PRINCIPAL #2,4.65328137,-74.1146288,
1272,TERMINAL DE BUSES SALITRE - ENTRADA PRINCIPAL #3,4.65336692,-74.1146288,
1532,SAN MIGUEL,13.4626287,-88.16546745,
